Point,ID,Year,GMU,BMU,Rotation,yrs_cut2015,yrs_cut2016,VegHgt_Avg,VegHgt_Stdv,LD_Avg,LD_Stdv,Avg_Canopy,GCVR_Forb,GCVR_ShrubTree,Shrub_stm_total,Tree_stm_total
1-1,1,2016,1,0,4,NA,4,99.5,18.6,0.4,0.5,0,0.3,0.55,790,27
2a-1,2,2016,1,0,1,NA,1,74.4,18.1,1.2,0.7,0,0.7,0.15,520,62
2b-1,3,2016,1,0,2,NA,1,63.4,8.0,2.3,1.5,0,0.2,0.4,471,0
2c-1,4,2016,1,0,2,NA,1,64.8,32.6,1.4,0.8,0,0.3,0.25,538,95
2d-1,5,2016,1,0,2,NA,1,57.8,14.0,1.2,0.9,0,0.5,0.35,334,94
3-1,6,2016,1,0,2,NA,2,71.5,31.1,1.2,0.5,0,0.5,0.45,925,121
3-2,7,2016,1,0,2,NA,2,105.3,25.9,2.2,0.8,0,0.45,0.55,880,25
4-1,8,2016,1,0,1,NA,1,64.5,15.6,1.3,0.8,0,0.6,0.3,877,29
5-1,9,2016,1,0,2,NA,1,56.7,12.5,1.8,0.7,0,0.3,0.45,815,112
6-1,10,2016,1,0,2,NA,2,63.9,17.2,1.8,1.4,0,0.05,0.75,842,193
6-2,11,2016,1,0,2,NA,2,68.8,44.7,2.5,1.3,0,0.25,0.55,810,110
6-3,12,2016,1,0,2,NA,2,79.4,14.1,0.0,0.0,0,0.2,0.7,1230,36
7-1,13,2016,1,0,2,NA,1,49.0,17.9,2.3,0.9,0,0.15,0.45,610,431
8-1,14,2016,1,0,4,NA,3,87.9,37.6,0.5,0.6,0,0.3,0.7,573,145
8-2,15,2016,1,0,4,NA,3,66.9,13.9,0.9,1.0,0,0.5,0.3,421,33
8-3,16,2016,1,0,4,NA,3,63.8,14.0,1.5,1.6,0,0.45,0.4,204,10
9-1,17,2016,1,0,2,NA,2,71.4,37.8,5.3,1.6,0,0.05,0.5,590,549
10-1,18,2016,1,0,4,NA,2,24.0,7.8,0.5,0.0,0,0.35,0.55,883,21
11-1,19,2016,1,0,4,NA,3,133.3,45.8,4.8,2.1,0,0.2,0.1,93,2
11-2,20,2016,1,0,4,NA,3,77.7,34.2,1.6,1.5,0,0.6,0.3,588,57
11-3,21,2016,1,0,4,NA,3,70.8,24.1,3.0,0.8,0,0.55,0.2,244,101
12-1,22,2016,1,0,4,NA,2,74.8,21.5,0.9,1.4,0,0.25,0.45,1143,73
12-2,23,2016,1,0,4,NA,2,63.9,19.8,1.0,1.5,0,0.3,0.6,533,126
13-1,24,2016,1,0,4,NA,2,78.6,10.2,2.5,0.8,0,0.5,0.3,241,47
14-1,25,2016,1,0,2,NA,1,47.8,15.5,0.7,0.7,0,0.55,0.4,447,47
15-1,26,2016,1,0,4,NA,2,101.6,35.9,1.5,2.9,19,0.3,0.25,112,0
16-1,27,2016,1,0,1,NA,1,92.4,20.0,2.8,1.1,0,0.8,0.1,75,5
16-2,28,2016,1,0,1,NA,1,77.2,15.1,1.6,0.9,0,0.65,0.2,275,10
22-1,29,2016,1,0,4,NA,2,62.9,10.6,2.2,0.9,0,0.75,0.2,320,109
23-1,30,2016,1,0,2,NA,1,76.7,11.0,1.5,0.8,0,0.85,0.15,270,0
23-2,31,2016,1,0,2,NA,1,50.3,17.1,0.7,0.6,0,0.5,0.45,532,37
24-1,32,2016,1,0,2,NA,2,64.7,28.8,2.0,0.7,0,0.4,0.35,322,159
25-1,33,2016,1,0,1,NA,1,59.3,17.3,2.8,0.6,0,0.5,0.1,408,16
26-1,34,2016,1,0,4,NA,3,112.1,46.6,1.9,0.6,0,0.5,0.9,130,23
28-1,35,2016,1,0,1,NA,1,60.4,16.5,1.0,1.1,0,0.35,0.45,526,158
29-1,36,2016,1,0,2,NA,2,78.7,25.5,1.9,0.6,0,0.6,0.4,53,220
30-1,37,2016,1,0,2,NA,2,56.3,18.3,2.6,1.1,0,0.55,0.15,293,152
