Point,ID,Year,Visit,Time,Date,Weather,Wind
1-1,1,2016,1,7:37,5/27/16,2,0
2a-1,2,2016,1,9:29,5/27/16,1,2
2b-1,3,2016,1,8:48,5/27/16,2,1
2c-1,4,2016,1,9:10,5/27/16,1,1
2d-1,5,2016,1,6:48,5/31/16,2,0
3-1,6,2016,1,6:42,5/27/16,2,1
3-2,7,2016,1,7:09,5/27/16,2,0
4-1,8,2016,1,8:26,5/23/16,1,0
5-1,9,2016,1,5:29,5/25/16,4,0
6-1,10,2016,1,5:50,5/25/16,4,0
6-2,11,2016,1,6:09,5/25/16,0,0
6-3,12,2016,1,6:31,5/25/16,0,0
7-1,13,2016,1,7:00,5/25/16,0,0
8-1,14,2016,1,7:19,5/25/16,0,0
8-2,15,2016,1,7:42,5/25/16,0,0
8-3,16,2016,1,8:03,5/25/16,0,0
9-1,17,2016,1,9:39,5/26/16,1,1
10-1,18,2016,1,9:14,5/26/16,1,1
11-1,19,2016,1,7:36,5/26/16,0,0
11-2,20,2016,1,7:18,5/26/16,1,0
11-3,21,2016,1,6:57,5/26/16,1,0
12-1,22,2016,1,6:38,5/26/16,1,0
12-2,23,2016,1,6:20,5/26/16,1,0
13-1,24,2016,1,8:04,5/23/16,1,0
14-1,25,2016,1,8:48,5/23/16,0,1
15-1,26,2016,1,9:12,5/23/16,0,1
16-1,27,2016,1,8:59,5/25/16,0,0
16-2,28,2016,1,9:16,5/25/16,0,1
22-1,29,2016,1,8:28,5/25/16,0,0
23-1,30,2016,1,5:59,5/27/16,2,0
23-2,31,2016,1,6:17,5/27/16,2,0
24-1,32,2016,1,5:33,5/27/16,2,0
25-1,33,2016,1,7:09,5/20/16,0,0
26-1,34,2016,1,5:13,5/31/16,4,0
28-1,35,2016,1,9:05,5/14/16,0,0
29-1,36,2016,1,7:09,5/14/16,0,0
30-1,37,2016,1,8:57,5/20/16,0,1
32-1,38,2016,1,8:27,5/20/16,0,0
34-1,39,2016,1,9:34,5/23/16,0,1
35-1,40,2016,1,9:35,5/25/16,0,1
36-1,41,2016,1,7:45,5/23/16,1,0
68-1,42,2016,1,5:31,5/26/16,0,0
44-1,43,2016,1,5:50,5/26/16,1,0
43-1,44,2016,1,6:09,5/31/16,2,0
41-1,45,2016,1,8:51,5/26/16,1,1
42b-1,46,2016,1,8:29,5/26/16,0,0
42a-1,47,2016,1,8:03,5/26/16,0,0
72-1,48,2016,1,8:23,5/27/16,2,1
73-1,49,2016,1,8:02,5/27/16,2,0
48-1,50,2016,1,7:19,5/31/16,2,0
65-1,51,2016,1,9:27,5/14/16,0,0
71-1,52,2016,1,7:30,5/20/16,0,0
70-1,53,2016,1,7:52,5/20/16,0,0
55-1,54,2016,1,7:14,5/23/16,1,0
51-1,55,2016,1,7:43,5/14/16,0,0
49-1,57,2016,1,5:57,5/20/16,1,0
49-2,58,2016,1,6:33,5/20/16,1,0
59-2,59,2016,1,5:36,5/23/16,1,0
59-1,60,2016,1,6:10,5/23/16,1,0
60-1,61,2016,1,7:45,5/15/16,0,1
61-1,62,2016,1,7:18,5/15/16,0,1
66b-1,63,2016,1,5:35,5/15/16,0,0
66a-1,64,2016,1,6:02,5/15/16,0,0
66a-2,65,2016,1,6:25,5/15/16,0,0
50a,66,2016,1,6:45,5/23/15,1,0
74-1,68,2016,1,5:37,5/8/16,2,0
74-2,69,2016,1,5:56,5/8/16,2,0
64b-1,70,2016,1,6:10,5/14/16,0,0
64a-1,71,2016,1,6:36,5/14/16,0,0
63-1,72,2016,1,5:41,5/14/16,1,0
62ab-1,73,2016,1,6:33,5/8/16,2,0
47e-1,74,2016,1,7:12,5/7/16,2,2
47d-1,75,2016,1,6:47,5/7/16,2,1
47c-1,76,2016,1,6:23,5/7/16,2,2
47a-1,77,2016,1,5:56,5/7/16,2,1
52-1,78,2016,1,8:24,5/7/16,2,1
52-2,79,2016,1,8:50,5/7/16,2,1
1-1,1,2016,2,6:51,6/28/16,2,1
2a-1,2,2016,2,5:27,6/24/16,4,0
2b-1,3,2016,2,5:56,6/28/16,2,1
2c-1,4,2016,2,6:16,6/28/16,2,1
2d-1,5,2016,2,6:30,6/28/16,2,1
3-1,6,2016,2,7:51,6/24/16,0,1
3-2,7,2016,2,8:22,6/24/16,0,1
4-1,8,2016,2,9:15,6/7/16,1,1
5-1,9,2016,2,7:45,6/8/16,1,1
6-1,10,2016,2,8:05,6/8/16,1,2
6-2,11,2016,2,8:22,6/8/16,1,2
6-3,12,2016,2,8:42,6/8/16,1,3
7-1,13,2016,2,9:18,6/8/16,1,2
8-1,14,2016,2,6:41,6/9/16,0,1
8-2,15,2016,2,6:17,6/9/16,0,1
8-3,16,2016,2,5:59,6/9/16,0,1
9-1,17,2016,2,6:09,6/17/16,1,0
10-1,18,2016,2,5:47,6/17/16,1,0
11-1,19,2016,2,7:34,6/15/16,1,0
11-2,20,2016,2,7:54,6/15/16,1,0
11-3,21,2016,2,8:20,6/15/16,1,1
12-1,22,2016,2,8:13,6/17/16,1,1
12-2,23,2016,2,7:58,6/17/16,1,0
13-1,24,2016,2,6:30,6/8/16,1,1
14-1,25,2016,2,6:08,6/8/16,1,1
15-1,26,2016,2,6:48,6/8/16,1,1
16-1,27,2016,2,6:22,6/15/16,1,0
16-2,28,2016,2,6:03,6/15/16,1,0
22-1,29,2016,2,5:37,6/9/16,0,1
23-1,30,2016,2,7:33,6/9/16,0,1
23-2,31,2016,2,7:15,6/9/16,0,2
24-1,32,2016,2,7:57,6/9/16,0,3
25-1,33,2016,2,7:45,6/7/16,1,1
26-1,34,2016,2,9:01,6/17/16,1,2
28-1,35,2016,2,6:01,6/2/16,1,0
29-1,36,2016,2,9:31,6/2/16,1,1
30-1,37,2016,2,6:02,6/7/16,0,0
32-1,38,2016,2,5:32,6/7/16,4,0
34-1,39,2016,2,7:07,6/8/16,1,1
35-1,40,2016,2,5:43,6/15/16,1,0
36-1,41,2016,2,9:38,6/7/16,1,1
68-1,42,2016,2,6:43,6/15/16,1,0
44-1,43,2016,2,7:00,6/15/16,1,0
43-1,44,2016,2,7:05,6/24/16,0,0
41-1,45,2016,2,6:38,6/17/16,1,0
