Point,Habitat,ID,Year,AMGO,AMRO,BAOR,BARS,BAWW,BCCH,BGGN,BHCO,BLJA,BRTH,BWWA,CEDW,COGR,COYE,EABL,EAKI,EATO,FISP,GCFL,GRCA,HOWR,INBU,MODO,NOCA,NOFL,OROR,OVEN,PUMA,RBGR,RBWO,RWBL,SOSP,SWSP,TRES,TUTI,VEER,WAVI,WBNU,WEVI,WIFL,WITU,WOTH,YBCU,YEWA,YTVI,ACRU,APCA,ARVU,CARE,COAM,CORA,DICL,EUGR,GAMO,JUNC,LIST,LOMO,LYLI,LYSA,MACA,MIVI,MYPE,ONSE,PAQU,PHAR,POSI,PYVI,QUPA,ROMU,ROPA,RUBU,SCSC,SCCY,SOLI,SPLA,SPTO,TORA,VACC,VENO,VIDE,VILA,mowtime,GCVR.Grass,GCVR.Forb,GCVR.ShrubTree,GCVR.Litter,GCVR.Wood,GCVR.Moss,GCVR.Water,VegHgt.Avg,VegHgt.Stdv,LD.Avg,LD.Stdv,AvgCanopy,ShrubSTM,TreeSTM,Avg.TreeDist,Avg.TreeHgt,Avg.ShrubHgt,Avg.ShrubWdt,Avg.ShrubDist
1-1.,1,1,2015,0,3,0,0,0,0,2,4,0,0,1,0,0,2,0,0,3,1,0,1,0,0,2,0,0,0,0,1,0,0,8,2,3,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,2,0,2,0,0,0,3,0.1,0.4,0.3,0.1,0,0.05,0.05,79.1,25.1,3.3,2.3,0,261,77,3.4,1.9,1.2,1.0,2.5
2a-1.,1,2,2015,1,2,1,2,0,0,0,0,0,0,1,0,5,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,0,1,5,0,0,0,0,0,1,0,0,0,2,0,1,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,3,0,0,1,0,0.7,0.05,0.15,0,0,0.1,60,11.7,2.3,2.1,0,541,143,3.1,0.5,0.6,0.4,2.0
2b-1.,1,3,2015,0,4,0,0,0,0,1,0,0,0,1,0,2,6,1,0,0,0,1,3,0,0,1,0,0,0,0,1,0,0,9,3,1,1,0,0,2,0,0,1,1,0,0,3,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,0.2,0.45,0.2,0.15,0,0,0,106.5,26.6,5.9,4,0,128,0,11.3,0.0,0.8,0.4,2.5
2c-1.,1,4,2015,0,1,0,0,0,0,1,2,0,0,2,0,1,4,1,0,1,0,0,4,0,0,0,0,1,0,0,1,0,0,6,0,3,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,3,0,0,0,2,0.2,0.4,0.4,0,0,0,0,79.5,20.5,3.9,3.3,0,1033,266,1.3,1.0,1.0,0.6,2.1
2d-1.,1,5,2015,1,1,0,0,1,0,2,2,2,0,1,0,0,5,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,4,2,0,4,0,1,0,0,0,1,0,2,0.1,0.35,0.45,0.1,0,0,0,65.8,36.3,3.9,1.9,0,258,69,3.9,1.2,1.2,0.9,1.4
3-1.,1,6,2015,0,1,1,0,1,0,1,0,0,0,1,0,0,4,1,0,2,1,0,5,0,0,1,1,0,0,0,0,0,0,6,2,2,3,1,0,0,0,0,1,4,0,0,4,0,0,0,0,0,4,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,5,0,2,1,0,1,0,0.7,0.3,0,0,0,0,74.5,30.7,2.3,0.8,0,960,15,4.6,1.2,1.3,1.1,1.8
3-2.,1,7,2015,0,1,1,1,0,0,1,0,0,0,0,1,3,5,1,0,1,1,0,1,2,0,2,1,0,0,0,0,0,1,8,3,1,3,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5,0,1,0,0,3,2,0,1,0.1,0.5,0.4,0,0,0,0,89.4,19.4,3.2,1.1,0,770,24,2.6,1.2,1.4,1.6,3.5
4-1.,1,8,2015,1,3,1,1,0,0,0,0,1,0,2,0,0,2,1,0,0,2,0,0,1,0,0,1,2,0,0,0,0,0,6,3,0,8,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,1,0,0,2,0,0,0,0,1,0,0.65,0.35,0,0,0,0,55.1,17.9,4.3,1.7,0,626,90,2.7,0.9,0.8,1.0,1.7
5-1.,1,9,2015,1,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,1,1,1,2,0,0,1,0,0,1,0,0,0,1,7,2,1,2,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,2,0,0,0,0,2,0,0.4,0.45,0.05,0,0,0.1,84.9,19.7,1.7,1.7,0,805,306,1.1,1.1,0.7,0.4,0.9
6-1.,1,10,2015,0,2,0,0,0,0,0,0,0,0,1,0,6,4,2,0,2,0,0,2,0,0,1,0,0,0,0,0,0,1,9,2,3,5,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,8,0,2,1,0,0,0,0,1,0,0.55,0.35,0.1,0,0,0,70.5,15.1,3,1.5,0,1159,138,4.1,1.1,1.1,1.2,4.5
